epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6191,2.60538,2.43439,1.16749,0.48401,0.39241,0.32893,0.10303,2.50757,2.2021,1.18625,0.000655914,0.000655914,0.000655914
2,80.3864,2.23744,1.63209,1.05788,0.67513,0.37975,0.43865,0.14118,2.36839,1.51776,1.12908,0.00131385,0.00131385,0.00131385
3,113.656,2.21944,1.57026,1.03105,0.62067,0.4557,0.44092,0.13635,2.40256,1.57185,1.13072,0.00196299,0.00196299,0.00196299
4,146.512,2.18171,1.56821,1.02721,0.58631,0.4346,0.41929,0.13068,2.45336,1.44969,1.14962,0.0019604,0.0019604,0.0019604
5,179.945,2.17979,1.45386,1.02211,0.56363,0.35971,0.36253,0.11258,2.4307,1.62436,1.12463,0.0019472,0.0019472,0.0019472
6,213.103,2.12577,1.40165,1.02732,0.65397,0.44304,0.44661,0.15034,2.33296,1.69974,1.10867,0.001934,0.001934,0.001934
7,246.522,2.15497,1.33288,1.03265,0.64316,0.47257,0.48299,0.1601,2.35537,1.3302,1.09092,0.0019208,0.0019208,0.0019208
8,279.954,2.07799,1.29804,1.00188,0.63259,0.51899,0.51003,0.15523,2.46161,1.58024,1.13088,0.0019076,0.0019076,0.0019076
9,313.184,2.09431,1.32475,1.01432,0.72161,0.46414,0.50212,0.15821,2.37077,1.42125,1.12227,0.0018944,0.0018944,0.0018944
10,346.605,2.04986,1.24214,1.01297,0.72058,0.42438,0.45596,0.15106,2.41094,1.38528,1.10924,0.0018812,0.0018812,0.0018812
11,379.917,2.0844,1.25901,0.99828,0.66805,0.48945,0.52459,0.17087,2.35217,1.36416,1.1182,0.001868,0.001868,0.001868
12,413.377,2.01554,1.19021,1.00816,0.83941,0.52321,0.59348,0.19113,2.33011,1.22834,1.11326,0.0018548,0.0018548,0.0018548
13,446.964,2.04762,1.17267,1.00208,0.76225,0.46414,0.52879,0.17624,2.35741,1.41626,1.1144,0.0018416,0.0018416,0.0018416
14,480.349,1.99349,1.18106,0.99719,0.8036,0.5654,0.59927,0.1935,2.27615,1.20619,1.0965,0.0018284,0.0018284,0.0018284
15,513.747,2.02146,1.13373,0.98337,0.73896,0.48973,0.54211,0.17026,2.478,1.29561,1.17227,0.0018152,0.0018152,0.0018152
16,547.051,2.00938,1.16525,1.00017,0.65349,0.46835,0.45375,0.1347,2.50126,1.47159,1.22326,0.001802,0.001802,0.001802
17,580.342,1.97559,1.11334,0.98363,0.74824,0.55696,0.59778,0.18661,2.40092,1.21251,1.15052,0.0017888,0.0017888,0.0017888
18,613.718,2.03097,1.1184,0.99263,0.6121,0.40084,0.35636,0.11026,2.46645,1.63541,1.13674,0.0017756,0.0017756,0.0017756
19,646.966,1.9293,1.08717,0.98005,0.81754,0.5443,0.60262,0.20552,2.31954,1.25449,1.12642,0.0017624,0.0017624,0.0017624
20,680.468,1.95082,1.10922,0.9748,0.82335,0.61603,0.64919,0.23007,2.29716,1.14791,1.12624,0.0017492,0.0017492,0.0017492
21,713.941,1.93737,1.0547,0.98096,0.84028,0.55696,0.65308,0.22638,2.28275,1.16606,1.09919,0.001736,0.001736,0.001736
22,747.214,1.90647,1.02345,0.96907,0.81692,0.59916,0.6349,0.24282,2.17974,1.09784,1.09106,0.0017228,0.0017228,0.0017228
23,780.58,1.90962,1.04932,0.97198,0.83372,0.52743,0.63078,0.22122,2.41918,1.19869,1.17297,0.0017096,0.0017096,0.0017096
24,813.83,1.90664,0.98588,0.97638,0.85854,0.57384,0.63868,0.21793,2.35019,1.18361,1.11635,0.0016964,0.0016964,0.0016964
